ticket_id,created_at,category,sub_category,requester_department,impact,urgency,status,assigned_team,resolved_at,description
T001,2026-06-02 18:50,Cloud,Server Alert,Sales,Low,High,Open,Helpdesk,,Server monitoring alert was triggered.
T002,2026-06-04 18:50,Network,VPN,HR,High,Medium,Open,Infra,,Office Wi-Fi is unstable in the meeting room.
T003,2026-06-05 10:10,Application,Error Message,Sales,Low,High,In Progress,DB,,CRM system response time is very slow.
T004,2026-06-01 15:40,Network,Firewall,HR,Medium,Medium,In Progress,Infra,,Firewall configuration may be blocking business applications.
T005,2026-06-04 12:00,Network,Proxy,Operations,Medium,Medium,Open,Helpdesk,,Firewall configuration may be blocking business applications.
T006,2026-06-12 18:50,Database,Backup,Operations,High,Medium,Resolved,DB,2026-06-13 04:27,Application cannot connect to the production database.
T007,2026-06-04 18:20,Login,SSO,IT,Medium,Low,Resolved,Helpdesk,2026-06-05 18:30,User cannot complete multi-factor authentication.
T008,2026-06-12 13:10,Network,Proxy,IT,Medium,High,Resolved,Infra,2026-06-12 19:54,Firewall configuration may be blocking business applications.
T009,2026-06-10 14:40,Login,Account Lock,Finance,High,Medium,In Progress,Helpdesk,,User cannot complete multi-factor authentication.
T010,2026-06-03 18:30,Login,SSO,HR,Low,Low,Open,Helpdesk,,Single sign-on fails when accessing the HR system.
T011,2026-06-12 09:50,Application,Data Sync,Marketing,Low,Low,Open,DB,,Application shows an unexpected error message.
T012,2026-06-12 12:40,Network,Proxy,IT,High,High,Resolved,Infra,2026-06-12 17:13,Users cannot connect to VPN during remote work.
T013,2026-06-13 16:00,Cloud,CPU Usage,Engineering,High,Low,Resolved,Infra,2026-06-13 23:51,CPU usage alert triggered on production server.
T014,2026-06-02 15:00,Database,Timeout,Engineering,High,Low,Resolved,Helpdesk,2026-06-02 18:32,Slow query performance is affecting business reports.
T015,2026-06-09 11:50,Security,Access Request,Marketing,Medium,Medium,Resolved,Security,2026-06-10 17:42,New employee needs access to internal documents.
T016,2026-06-09 11:40,Application,Data Sync,HR,High,High,Open,App,,CRM system response time is very slow.
T017,2026-06-09 11:20,Cloud,Server Alert,Engineering,High,High,In Progress,Infra,,Cloud storage usage reached the warning threshold.
T018,2026-06-02 09:50,Security,Access Request,Legal,High,Medium,In Progress,Security,,Permission settings need to be reviewed.
T019,2026-06-07 13:00,Application,Data Sync,Sales,Medium,Low,Open,App,,Inventory system shows incorrect stock values.
T020,2026-06-02 15:40,Security,Shared Folder,Finance,Medium,High,Open,Security,,User requests access to a shared folder.
T021,2026-06-01 10:30,Network,Office Wi-Fi,Finance,Medium,Medium,Resolved,Infra,2026-06-02 00:39,Firewall configuration may be blocking business applications.
T022,2026-06-10 16:00,Database,Backup,Legal,High,High,Resolved,DB,2026-06-10 17:24,Slow query performance is affecting business reports.
T023,2026-06-10 09:50,Security,Access Request,Sales,Low,High,Open,App,,User requests access to a shared folder.
T024,2026-06-09 13:20,Security,Access Request,Sales,Medium,Medium,Resolved,Security,2026-06-10 11:57,Suspicious login attempt was detected.
T025,2026-06-13 09:00,Database,Backup,Finance,Medium,High,In Progress,DB,,Monthly report query fails with timeout error.
T026,2026-06-04 13:20,Network,Office Wi-Fi,Marketing,High,Medium,Open,Infra,,Users cannot access external websites through the proxy.
T027,2026-06-05 09:00,Security,Permission,Marketing,Low,High,Resolved,Security,2026-06-05 12:51,New employee needs access to internal documents.
T028,2026-06-08 12:00,Security,Access Request,Operations,High,Medium,In Progress,Security,,Permission settings need to be reviewed.
T029,2026-06-03 15:40,Database,Query Error,Sales,Medium,High,Resolved,DB,2026-06-04 00:23,Monthly report query fails with timeout error.
T030,2026-06-03 08:20,Network,Office Wi-Fi,Sales,Low,Medium,Open,Infra,,Users cannot connect to VPN during remote work.
T031,2026-06-14 14:40,Database,Connection,Engineering,Medium,Medium,Resolved,DB,2026-06-15 18:44,Application cannot connect to the production database.
T032,2026-06-07 18:50,Login,MFA,IT,High,Medium,In Progress,Helpdesk,,User account is locked after multiple login attempts.
T033,2026-06-14 15:20,Login,Password,IT,Low,Low,Open,Helpdesk,,User cannot complete multi-factor authentication.
T034,2026-06-13 12:20,Login,Password,Engineering,Medium,High,Open,Helpdesk,,Single sign-on fails when accessing the HR system.
T035,2026-06-05 08:00,Cloud,CPU Usage,Sales,High,Low,Open,Infra,,Deployment failed in the staging environment.
T036,2026-06-10 11:20,Cloud,CPU Usage,IT,Medium,Medium,In Progress,Infra,,Server monitoring alert was triggered.
T037,2026-06-10 13:50,Network,Office Wi-Fi,Operations,Medium,Low,Resolved,Infra,2026-06-11 12:32,Users cannot access external websites through the proxy.
T038,2026-06-04 14:50,Security,Suspicious Login,IT,Medium,Medium,Resolved,Helpdesk,2026-06-05 10:50,New employee needs access to internal documents.
T039,2026-06-11 13:30,Application,Performance,Marketing,Medium,Medium,Resolved,App,2026-06-12 11:03,Customer data is not synchronized correctly.
T040,2026-06-02 11:50,Cloud,Storage,HR,Medium,Medium,Resolved,Infra,2026-06-03 12:48,Cloud storage usage reached the warning threshold.
T041,2026-06-08 14:50,Network,VPN,Engineering,Low,Medium,Resolved,Infra,2026-06-09 13:30,Firewall configuration may be blocking business applications.
T042,2026-06-14 09:30,Application,Data Sync,Engineering,High,Medium,Resolved,App,2026-06-14 21:08,Customer data is not synchronized correctly.
