ticket_id,created_at,category,sub_category,requester_department,impact,urgency,status,assigned_team,resolved_at,description,priority,recommended_team,team_match,elapsed_hours,sla_hours,sla_risk_score,sla_status
T001,2026-06-02 18:50:00,Cloud,Server Alert,Sales,Low,High,Open,Helpdesk,,Server monitoring alert was triggered.,Low,Infra,False,311.9,72,433.2,Violated
T002,2026-06-04 18:50:00,Network,VPN,HR,High,Medium,Open,Infra,,Office Wi-Fi is unstable in the meeting room.,High,Infra,True,263.9,8,3298.7,Violated
T003,2026-06-05 10:10:00,Application,Error Message,Sales,Low,High,In Progress,DB,,CRM system response time is very slow.,Low,App,False,248.57,72,345.2,Violated
T004,2026-06-01 15:40:00,Network,Firewall,HR,Medium,Medium,In Progress,Infra,,Firewall configuration may be blocking business applications.,Medium,Infra,True,339.07,24,1412.8,Violated
T005,2026-06-04 12:00:00,Network,Proxy,Operations,Medium,Medium,Open,Helpdesk,,Firewall configuration may be blocking business applications.,Medium,Infra,False,270.73,24,1128.0,Violated
T006,2026-06-12 18:50:00,Database,Backup,Operations,High,Medium,Resolved,DB,2026-06-13 04:27:00,Application cannot connect to the production database.,High,DB,True,9.62,8,120.2,Violated
T007,2026-06-04 18:20:00,Login,SSO,IT,Medium,Low,Resolved,Helpdesk,2026-06-05 18:30:00,User cannot complete multi-factor authentication.,Low,Helpdesk,True,24.17,72,33.6,Normal
T008,2026-06-12 13:10:00,Network,Proxy,IT,Medium,High,Resolved,Infra,2026-06-12 19:54:00,Firewall configuration may be blocking business applications.,High,Infra,True,6.73,8,84.1,High Risk
T009,2026-06-10 14:40:00,Login,Account Lock,Finance,High,Medium,In Progress,Helpdesk,,User cannot complete multi-factor authentication.,High,Helpdesk,True,124.07,8,1550.9,Violated
T010,2026-06-03 18:30:00,Login,SSO,HR,Low,Low,Open,Helpdesk,,Single sign-on fails when accessing the HR system.,Low,Helpdesk,True,288.23,72,400.3,Violated
T011,2026-06-12 09:50:00,Application,Data Sync,Marketing,Low,Low,Open,DB,,Application shows an unexpected error message.,Low,App,False,80.9,72,112.4,Violated
T012,2026-06-12 12:40:00,Network,Proxy,IT,High,High,Resolved,Infra,2026-06-12 17:13:00,Users cannot connect to VPN during remote work.,Critical,Infra,True,4.55,4,113.8,Violated
T013,2026-06-13 16:00:00,Cloud,CPU Usage,Engineering,High,Low,Resolved,Infra,2026-06-13 23:51:00,CPU usage alert triggered on production server.,Low,Infra,True,7.85,72,10.9,Normal
T014,2026-06-02 15:00:00,Database,Timeout,Engineering,High,Low,Resolved,Helpdesk,2026-06-02 18:32:00,Slow query performance is affecting business reports.,Low,DB,False,3.53,72,4.9,Normal
T015,2026-06-09 11:50:00,Security,Access Request,Marketing,Medium,Medium,Resolved,Security,2026-06-10 17:42:00,New employee needs access to internal documents.,Medium,Security,True,29.87,24,124.5,Violated
T016,2026-06-09 11:40:00,Application,Data Sync,HR,High,High,Open,App,,CRM system response time is very slow.,Critical,App,True,151.07,4,3776.8,Violated
T017,2026-06-09 11:20:00,Cloud,Server Alert,Engineering,High,High,In Progress,Infra,,Cloud storage usage reached the warning threshold.,Critical,Infra,True,151.4,4,3785.0,Violated
T018,2026-06-02 09:50:00,Security,Access Request,Legal,High,Medium,In Progress,Security,,Permission settings need to be reviewed.,High,Security,True,320.9,8,4011.2,Violated
T019,2026-06-07 13:00:00,Application,Data Sync,Sales,Medium,Low,Open,App,,Inventory system shows incorrect stock values.,Low,App,True,197.73,72,274.6,Violated
T020,2026-06-02 15:40:00,Security,Shared Folder,Finance,Medium,High,Open,Security,,User requests access to a shared folder.,High,Security,True,315.07,8,3938.4,Violated
